path,page_type,language,title,canonical,robots,indexable,in_sitemap,sitemap_files,hreflang,body_chars,unique_chars,template_share_pct,external_links,internal_links,news_aggregation,has_author,has_published_date,has_modified_date,has_reviewed_date,has_source,has_as_of,is_tool,data_completeness,has_adsense,uses_ga4,uses_naver_analytics,uses_supabase,has_meta_refresh,grade,action_reason
/apt/busan-busanjin/gaegeumjugong3danji-518-0/,apt-complex,ko,개금주공3단지(518-0) 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumjugong3danji-518-0/,"noindex,follow",False,False,,,2082,1034,50.3,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 6, ""quarters_charted"": 0, ""area_types"": 2, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 6행 · 면적 2유형 · 분기차트 없음) — noindex,follow"
/apt/busan-busanjin/gaegeumrotdekaeseul/,apt-complex,ko,개금롯데캐슬 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumrotdekaeseul/,"noindex,follow",False,False,,,3125,1859,40.5,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 33, ""quarters_charted"": 4, ""area_types"": 3, ""has_chart"": true}",False,True,True,False,False,A,품질 게이트 통과 단지 페이지 — 색인 후보
/apt/busan-busanjin/gaegeumudeubil-1-9/,apt-complex,ko,개금우드빌(1-9) 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumudeubil-1-9/,"noindex,follow",False,False,,,2473,1311,47.0,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 18, ""quarters_charted"": 4, ""area_types"": 1, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 18행 · 면적 1유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/gaegeumudeubil/,apt-complex,ko,개금우드빌 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumudeubil/,"noindex,follow",False,False,,,2421,1311,45.8,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 20, ""quarters_charted"": 4, ""area_types"": 1, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 20행 · 면적 1유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/gaegeumyeokgeumgangpenteriumdeoseukweeoapateu/,apt-complex,ko,개금역금강펜테리움더스퀘어아파트 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumyeokgeumgangpenteriumdeoseukweeoapateu/,"noindex,follow",False,False,,,3872,2525,34.8,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 42, ""quarters_charted"": 4, ""area_types"": 6, ""has_chart"": true}",False,True,True,False,False,A,품질 게이트 통과 단지 페이지 — 색인 후보
/apt/busan-busanjin/gayadongwonroyaldyukeu/,apt-complex,ko,가야동원로얄듀크 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gayadongwonroyaldyukeu/,"noindex,follow",False,False,,,2437,1277,47.6,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 13, ""quarters_charted"": 4, ""area_types"": 4, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 13행 · 면적 4유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/gayanuriae/,apt-complex,ko,가야누리애 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gayanuriae/,"noindex,follow",False,False,,,2005,950,52.6,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 5, ""quarters_charted"": 0, ""area_types"": 2, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 5행 · 면적 2유형 · 분기차트 없음) — noindex,follow"
/apt/busan-busanjin/gayanuriaedeosenteurijeu/,apt-complex,ko,가야누리애더센트리즈 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gayanuriaedeosenteurijeu/,"noindex,follow",False,False,,,2280,1140,50.0,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 10, ""quarters_charted"": 4, ""area_types"": 3, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 10행 · 면적 3유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/gayasamjeonggeurinkoa/,apt-complex,ko,가야삼정그린코아 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gayasamjeonggeurinkoa/,"noindex,follow",False,False,,,2322,1226,47.2,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 8, ""quarters_charted"": 0, ""area_types"": 4, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 8행 · 면적 4유형 · 분기차트 없음) — noindex,follow"
/apt/busan-busanjin/gayasenteurebil/,apt-complex,ko,가야센트레빌 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gayasenteurebil/,"noindex,follow",False,False,,,2852,1604,43.8,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 21, ""quarters_charted"": 4, ""area_types"": 4, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 21행 · 면적 4유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/gukjebaekyang/,apt-complex,ko,국제백양 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gukjebaekyang/,"noindex,follow",False,False,,,3436,2172,36.8,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 37, ""quarters_charted"": 4, ""area_types"": 4, ""has_chart"": true}",False,True,True,False,False,A,품질 게이트 통과 단지 페이지 — 색인 후보
